tree1,tree2,d11_mean,d11_lower,d11_upper,d22_mean,d22_lower,d22_upper,d12_mean,d12_lower,d12_upper,p_d12_g_d11,p_d12_g_d22
output/tree001/trimmed/tree001_trimmed.run1_online.nwk,output/tree001/trimmed/tree001_trimmed.run2_online.nwk,2.0,0.0,4.0,2.0,0.0,5.0,2.0,0.0,6.0,0.619968,0.522262
output/tree001/trimmed/tree001_trimmed.run1_online.nwk,output/tree001/full/tree001.run1.nwk,2.0,0.0,4.0,3.0,0.0,6.0,3.0,0.0,5.0,0.700225,0.437824
output/tree001/trimmed/tree001_trimmed.run1_online.nwk,output/tree001/full/tree001.run2.nwk,2.0,0.0,4.0,3.0,0.0,6.0,2.0,0.0,5.0,0.685058,0.453838
output/tree001/trimmed/tree001_trimmed.run2_online.nwk,output/tree001/full/tree001.run1.nwk,2.0,0.0,5.0,3.0,0.0,6.0,3.0,0.0,6.0,0.592159,0.474267
output/tree001/trimmed/tree001_trimmed.run2_online.nwk,output/tree001/full/tree001.run2.nwk,2.0,0.0,5.0,3.0,0.0,6.0,3.0,0.0,5.0,0.577012,0.48608
output/tree001/full/tree001.run1.nwk,output/tree001/full/tree001.run2.nwk,3.0,0.0,6.0,3.0,0.0,6.0,3.0,0.0,6.0,0.485306,0.515266
output/tree002/trimmed/tree002_trimmed.run1_online.nwk,output/tree002/trimmed/tree002_trimmed.run2_online.nwk,2.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,4.0,0.487909,0.566475
output/tree002/trimmed/tree002_trimmed.run1_online.nwk,output/tree002/full/tree002.run1.nwk,2.0,0.0,4.0,2.0,0.0,5.0,2.0,0.0,5.0,0.563393,0.474832
output/tree002/trimmed/tree002_trimmed.run1_online.nwk,output/tree002/full/tree002.run2.nwk,2.0,0.0,4.0,2.0,0.0,5.0,2.0,0.0,5.0,0.583024,0.458516
output/tree002/trimmed/tree002_trimmed.run2_online.nwk,output/tree002/full/tree002.run1.nwk,1.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,0.618864,0.456414
output/tree002/trimmed/tree002_trimmed.run2_online.nwk,output/tree002/full/tree002.run2.nwk,1.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,5.0,0.640755,0.441942
output/tree002/full/tree002.run1.nwk,output/tree002/full/tree002.run2.nwk,2.0,0.0,5.0,2.0,0.0,5.0,2.0,0.0,5.0,0.518545,0.48157
output/tree003/trimmed/tree003_trimmed.run1_online.nwk,output/tree003/trimmed/tree003_trimmed.run2_online.nwk,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,3.0,0.54975,0.482549
output/tree003/trimmed/tree003_trimmed.run1_online.nwk,output/tree003/full/tree003.run1.nwk,0.0,0.0,3.0,3.0,0.0,5.0,2.0,0.0,4.0,0.776003,0.321853
output/tree003/trimmed/tree003_trimmed.run1_online.nwk,output/tree003/full/tree003.run2.nwk,0.0,0.0,3.0,3.0,0.0,5.0,2.0,0.0,4.0,0.756202,0.332044
output/tree003/trimmed/tree003_trimmed.run2_online.nwk,output/tree003/full/tree003.run1.nwk,1.0,0.0,2.0,3.0,0.0,5.0,2.0,0.0,4.0,0.76413,0.340596
output/tree003/trimmed/tree003_trimmed.run2_online.nwk,output/tree003/full/tree003.run2.nwk,1.0,0.0,2.0,3.0,0.0,5.0,2.0,0.0,4.0,0.742059,0.350422
output/tree003/full/tree003.run1.nwk,output/tree003/full/tree003.run2.nwk,3.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,5.0,0.486422,0.513599
